task,obs_mode,temporal_mode,temporal_dropout_p,action_input,action_embedding_dim,model,sequence_r,sequence_l,sequence_ell,input_injection,dataset_seed,model_seed,spectral_radius,symmetry_index,normality_index,effective_rank,transient_amplification,power_decay_10,oscillatory_score,nilpotent_score
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,numpy_rnn,,,,,11,111,0.7727871537208557,1.3714396191747862,0.24458075180264657,25.6397647857666,1.0171644687652588,0.11906509846448898,0.6875,0.8936030632821427
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_random,,,,all_units,11,142,0.9000000357627869,1.4185942729094438,0.2360133021581859,25.60284423828125,1.7089650630950928,0.6864140629768372,0.8125,0.5929741822923443
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_random,,,,all_units,11,148,0.8999999761581421,1.41717071406477,0.2621742852451046,25.152732849121094,1.8964194059371948,0.977896511554718,0.875,0.5055876251149024
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_random,,,,all_units,11,152,0.8999999761581421,1.4118887636042816,0.2615444707089848,25.53618049621582,1.8752433061599731,0.7009915709495544,0.8125,0.5878923899909534
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_symmetric,,,,all_units,11,142,0.8999999761581421,0.0,0.0,25.78898048400879,0.8999999761581421,0.3486782908439636,0.0,0.7414666691003301
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_symmetric,,,,all_units,11,148,0.8999999761581421,0.0,0.0,26.267383575439453,0.8999999761581421,0.3486783504486084,0.0,0.7414666363313178
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_symmetric,,,,all_units,11,152,0.8999999761581421,0.0,0.0,25.461278915405273,0.8999999761581421,0.3486784100532532,0.0,0.7414666035623085
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_oscillatory,,,,all_units,11,142,0.8999999761581421,1.999999992395346,0.0,24.855453491210938,0.8999999761581421,0.34867843985557556,0.875,0.7414665871778049
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_oscillatory,,,,all_units,11,148,0.9000000357627869,1.9999999924269853,0.0,24.854631423950195,0.9000000357627869,0.34867843985557556,0.875,0.7414665871778049
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_oscillatory,,,,all_units,11,152,0.8999999761581421,1.9999999926737375,0.0,24.522010803222656,0.8999999761581421,0.3486784100532532,0.875,0.7414666035623085
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_orthogonal,,,,all_units,11,142,0.9000000357627869,1.4193614948228988,2.610716504795287e-08,32.0,0.9000000357627869,0.34867849946022034,0.9375,0.7414665544087998
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_orthogonal,,,,all_units,11,148,0.8999999761581421,1.4650506665218996,2.8089203653974613e-08,32.0,0.8999999761581421,0.3486782908439636,0.9375,0.7414666691003301
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_orthogonal,,,,all_units,11,152,0.8999999761581421,1.4361049421012433,2.984955327470344e-08,32.0,0.8999999761581421,0.34867826104164124,0.9375,0.7414666854848374
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_nilpotent,,,,all_units,11,142,0.0,1.4142135493894883,0.04561979271085336,30.999990463256836,1.0,1.0,0.0,0.5
torus_lattice,gaussian_sensory,temporal_full,0.5,none,0,reservoir_nilpotent,,,,all_units,11,148,0.0,1.4142135493894883,0.04561979271085336,30.999990463256836,1.0,1.0,0.0,0.5
