matrix_kind,hidden_dim,spectral_radius,symmetry_index,normality_index,effective_rank,transient_amplification,power_decay_10,oscillatory_score,nilpotent_score
random,48,0.9000000357627869,1.3943612063717172,0.21080076238735546,38.19401931762695,2.0147616863250732,0.8772159814834595,0.875,0.5327037537842372
symmetric,48,0.8999999761581421,0.0,0.0,38.665767669677734,0.8999999761581421,0.34867843985557556,0.0,0.7414665871778049
oscillatory,48,0.8999999761581421,1.9999999941984896,0.0,38.1147346496582,0.8999999761581421,0.3486783802509308,0.9166666666666666,0.7414666199468128
orthogonal,48,0.8999999761581421,1.4584642938493146,2.5118738182985693e-08,48.0,0.8999999761581421,0.3486782908439636,0.9583333333333334,0.7414666691003301
nilpotent,48,0.0,1.4142136047562166,0.03008964864146449,46.99999237060547,1.0,1.0,0.0,0.5
diagonal,48,0.8999999761581421,0.0,0.0,43.68038558959961,0.8999999761581421,0.3486783504486084,0.0,0.7414666363313178
low_rank,48,0.9000000357627869,1.371917137475282,0.7295422180573832,3.9139974117279053,2.591174840927124,1.061040997505188,0.0,0.48519170710842824
sparse,48,0.8999999761581421,1.4217329478088234,0.24529163632140405,36.254390716552734,3.492917060852051,1.663597583770752,0.8333333333333334,0.375432087073881
block_hybrid,48,0.8999999761581421,1.4878410197901126,0.06782861849882765,37.53310012817383,1.0,1.0,0.3333333333333333,0.5
