delay,cue_visibility,obs_mode,temporal_mode,dataset_seed,model,memory_span,state_dim,n_train,n_test,action_accuracy
16,cue_gap,sparse_aliased,temporal_cue_then_blank,8033,numpy_rnn_h32,,32,43,17,0.5294117647058824
16,cue_gap,sparse_aliased,temporal_cue_then_blank,8033,reservoir_nilpotent_h32,,32,43,17,0.8235294117647058
16,cue_gap,sparse_aliased,temporal_cue_then_blank,8033,numpy_rnn_h128,,128,43,17,0.47058823529411764
16,cue_gap,sparse_aliased,temporal_cue_then_blank,8033,reservoir_nilpotent_h128,,128,43,17,0.9411764705882353
32,visible_state,dense,temporal_full,7043,memoryless_linear,,138,87,37,1.0
32,visible_state,dense,temporal_full,7049,memoryless_linear,,138,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,memoryless_linear,,12,87,37,0.5135135135135135
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,history_h4,4,48,87,37,0.5135135135135135
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,lin_block_r3_l4,4,72,87,37,0.5135135135135135
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,history_h16,16,192,87,37,0.5135135135135135
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,lin_block_r3_l16,16,216,87,37,0.5405405405405406
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,history_h32,32,384,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,lin_block_r3_l32,32,408,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,history_h64,64,768,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,lin_block_r3_l64,64,792,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,history_h80,80,960,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,lin_block_r3_l80,80,984,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,numpy_rnn_h32,,32,87,37,0.2702702702702703
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,reservoir_nilpotent_h32,,32,87,37,0.7297297297297297
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,numpy_rnn_h128,,128,87,37,0.5135135135135135
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8043,reservoir_nilpotent_h128,,128,87,37,0.7567567567567568
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,memoryless_linear,,12,87,37,0.5135135135135135
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,history_h4,4,48,87,37,0.5135135135135135
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,lin_block_r3_l4,4,72,87,37,0.5135135135135135
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,history_h16,16,192,87,37,0.5405405405405406
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,lin_block_r3_l16,16,216,87,37,0.6216216216216216
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,history_h32,32,384,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,lin_block_r3_l32,32,408,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,history_h64,64,768,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,lin_block_r3_l64,64,792,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,history_h80,80,960,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,lin_block_r3_l80,80,984,87,37,1.0
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,numpy_rnn_h32,,32,87,37,0.5135135135135135
