obs_mode,temporal_mode,action_input,action_embedding_dim,n_tasks,memory_advantage_mean,memory_advantage_sem,positive_task_count,best_task,best_recurrent_model,best_task_advantage
gaussian_sensory,temporal_cue_then_blank,embedding,8,15,0.18944952598178405,0.0425186592334456,12,aliased_t_maze,lin_block_r1_l8,0.5
gaussian_sensory,temporal_cue_then_blank,none,0,15,0.17673934687375545,0.047714920873085896,11,shortcut_route_choice,lin_block_r1_l8,0.6
gaussian_sensory,temporal_cue_then_blank,one_hot,0,15,0.18744846053985836,0.03958823745350531,12,aliased_t_maze,lin_block_r1_l8,0.5
gaussian_sensory,temporal_dropout,embedding,8,15,0.13006904037818018,0.038519105976118566,12,aliased_t_maze,lin_block_r3_l8,0.5
gaussian_sensory,temporal_dropout,none,0,15,0.10120210036876703,0.044064436137922616,8,aliased_t_maze,lin_block_r3_l8,0.5833333333333334
gaussian_sensory,temporal_dropout,one_hot,0,15,0.12962952618866597,0.03575464258313391,12,aliased_t_maze,lin_block_r3_l8,0.5
gaussian_sensory,temporal_full,embedding,8,15,0.09771165314176068,0.03677173538570296,8,aliased_t_maze,lin_block_r1_l8,0.41666666666666674
gaussian_sensory,temporal_full,none,0,15,0.10017074224063469,0.04707913111255054,7,landmark_gap_detour,lin_block_r3_l8,0.5
gaussian_sensory,temporal_full,one_hot,0,15,0.09140954475631895,0.034071270428673237,8,aliased_t_maze,lin_block_r1_l8,0.41666666666666674
