task,obs_mode,temporal_mode,architecture_family,n_models,best_model,best_sequence_r,best_sequence_l,best_action_accuracy_mean,best_action_accuracy_sem,best_context_accuracy_mean
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,reservoir_orthogonal,1,reservoir_orthogonal,,,0.46143790849673194,0.006729170026788887,0.45620915032679743
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,reservoir_oscillatory,1,reservoir_oscillatory,,,0.45620915032679743,0.01014651940932028,0.46143790849673205
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,reservoir_random,1,reservoir_random,,,0.4627450980392157,0.0089854425391291,0.48496732026143796
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,reservoir_sparse,1,reservoir_sparse,,,0.47973856209150323,0.007537622610895945,0.4954248366013072
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,reservoir_symmetric,1,reservoir_symmetric,,,0.5019607843137255,0.0019607843137254832,0.5163398692810457
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,shared_lin_sequence,10,lin_sequence_front_bands_r1_l2,1,2,0.5058823529411764,0.0,0.48235294117647065
long_aliased_t_maze,sparse_aliased,temporal_full,explicit_observed_history,4,history_linear_h80,,,1.0,0.0,0.5803921568627451
long_aliased_t_maze,sparse_aliased,temporal_full,independent_lin_block,9,lin_block_r5_l64,5,64,0.7333333333333334,0.003921568627451004,0.7450980392156863
long_aliased_t_maze,sparse_aliased,temporal_full,memoryless_linear,1,memoryless_linear,,,0.5058823529411764,0.0,0.4862745098039216
long_aliased_t_maze,sparse_aliased,temporal_full,memoryless_mlp,1,memoryless_mlp,,,0.5058823529411764,0.0,0.4862745098039216
long_aliased_t_maze,sparse_aliased,temporal_full,numpy_rnn,1,numpy_rnn,,,0.5058823529411764,0.0,0.4901960784313726
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_block_hybrid,1,reservoir_block_hybrid,,,0.4810457516339869,0.006633262460844589,0.4836601307189543
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_diagonal,1,reservoir_diagonal,,,0.5032679738562091,0.0026143790849673175,0.5777777777777777
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_low_rank,1,reservoir_low_rank,,,0.4993464052287582,0.0028489535578697157,0.48496732026143785
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_nilpotent,1,reservoir_nilpotent,,,0.4784313725490196,0.0033961780540566265,0.4601307189542484
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_orthogonal,1,reservoir_orthogonal,,,0.4509803921568628,0.01143323900950059,0.49411764705882355
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_oscillatory,1,reservoir_oscillatory,,,0.46143790849673205,0.008267392575603603,0.469281045751634
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_random,1,reservoir_random,,,0.48758169934640516,0.010019418115526724,0.4666666666666667
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_sparse,1,reservoir_sparse,,,0.48496732026143796,0.005468366186497226,0.47581699346405226
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_symmetric,1,reservoir_symmetric,,,0.5019607843137255,0.0019607843137254832,0.5294117647058824
long_aliased_t_maze,sparse_aliased,temporal_full,shared_lin_sequence,10,lin_sequence_front_bands_r1_l2,1,2,0.5058823529411764,0.0,0.48235294117647065
