task,obs_mode,temporal_mode,action_input,action_embedding_dim,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
aliased_t_maze,vector,temporal_cue_then_blank,one_hot,0,0.6666666666666666,lin_block_r1_l8,1.0,0.33333333333333337
aliased_t_maze,vector,temporal_dropout,one_hot,0,0.5833333333333334,lin_block_r1_l8,1.0,0.41666666666666663
aliased_t_maze,vector,temporal_full,one_hot,0,0.5833333333333334,lin_block_r1_l8,1.0,0.41666666666666663
bottleneck_rooms,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.5333333333333333,lin_sequence_front_bands_r1_l4,0.7777777777777778,0.24444444444444446
bottleneck_rooms,egocentric_landmark,temporal_dropout,one_hot,0,0.5,lin_block_r3_l4,0.6,0.09999999999999998
bottleneck_rooms,egocentric_landmark,temporal_full,one_hot,0,0.7,reservoir_diagonal,0.7333333333333334,0.03333333333333344
bottleneck_rooms,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.5333333333333333,reservoir_diagonal,0.7999999999999999,0.2666666666666666
bottleneck_rooms,gaussian_sensory,temporal_dropout,one_hot,0,0.6666666666666666,lin_block_r1_l8,0.7666666666666666,0.09999999999999998
bottleneck_rooms,gaussian_sensory,temporal_full,one_hot,0,0.7333333333333334,reservoir_diagonal,0.7444444444444445,0.011111111111111072
bottleneck_rooms,hybrid,temporal_cue_then_blank,one_hot,0,0.5333333333333333,lin_sequence_front_bands_r1_l4,0.7555555555555555,0.2222222222222222
bottleneck_rooms,hybrid,temporal_dropout,one_hot,0,0.6333333333333333,lin_block_r3_l8,0.7,0.06666666666666665
bottleneck_rooms,hybrid,temporal_full,one_hot,0,0.7333333333333334,reservoir_diagonal,0.7666666666666666,0.033333333333333215
bottleneck_rooms,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.5333333333333333,lin_sequence_front_bands_r1_l4,0.7444444444444445,0.21111111111111114
bottleneck_rooms,sparse_aliased,temporal_dropout,one_hot,0,0.5666666666666667,lin_block_r3_l2,0.7,0.1333333333333333
bottleneck_rooms,sparse_aliased,temporal_full,one_hot,0,0.6,lin_sequence_front_bands_r1_l8,0.7555555555555556,0.15555555555555567
bottleneck_rooms,vector,temporal_cue_then_blank,one_hot,0,0.5333333333333333,lin_sequence_front_bands_r1_l4,0.7777777777777778,0.24444444444444446
bottleneck_rooms,vector,temporal_dropout,one_hot,0,0.5,lin_block_r3_l8,0.7,0.19999999999999996
bottleneck_rooms,vector,temporal_full,one_hot,0,0.6333333333333333,reservoir_diagonal,0.7777777777777777,0.14444444444444438
clamped_lattice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.75,lin_block_r1_l4,0.9772727272727273,0.2272727272727273
clamped_lattice,egocentric_landmark,temporal_dropout,one_hot,0,0.8636363636363636,lin_block_r5_l4,0.8409090909090909,-0.022727272727272707
clamped_lattice,egocentric_landmark,temporal_full,one_hot,0,0.9090909090909092,lin_block_r1_l2,0.9318181818181819,0.022727272727272707
