task,obs_mode,temporal_mode,action_input,action_embedding_dim,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
clamped_lattice,gaussian_sensory,temporal_dropout,one_hot,0,0.7727272727272727,lin_block_r1_l2,0.7954545454545454,0.022727272727272707
clamped_lattice,gaussian_sensory,temporal_full,embedding,8,0.7727272727272727,lin_block_r1_l2,0.7954545454545454,0.022727272727272707
clamped_lattice,gaussian_sensory,temporal_full,none,0,0.7954545454545454,lin_block_r1_l4,0.7954545454545454,0.0
clamped_lattice,gaussian_sensory,temporal_full,one_hot,0,0.7727272727272727,lin_sequence_front_bands_r1_l8,0.8030303030303031,0.030303030303030387
landmark_gap_detour,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.5,lin_block_r1_l8,1.0,0.5
landmark_gap_detour,gaussian_sensory,temporal_cue_then_blank,none,0,0.3333333333333333,lin_sequence_front_bands_r5_l8,0.8333333333333334,0.5
landmark_gap_detour,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.5,lin_block_r1_l8,0.9166666666666667,0.41666666666666674
landmark_gap_detour,gaussian_sensory,temporal_dropout,embedding,8,0.5,lin_block_r1_l8,0.8333333333333333,0.33333333333333326
landmark_gap_detour,gaussian_sensory,temporal_dropout,none,0,0.5,lin_block_r3_l8,0.8333333333333333,0.33333333333333326
landmark_gap_detour,gaussian_sensory,temporal_dropout,one_hot,0,0.5833333333333333,reservoir_nilpotent,0.7777777777777777,0.19444444444444442
landmark_gap_detour,gaussian_sensory,temporal_full,embedding,8,0.6666666666666666,lin_block_r1_l2,1.0,0.33333333333333337
landmark_gap_detour,gaussian_sensory,temporal_full,none,0,0.5,lin_block_r3_l8,1.0,0.5
landmark_gap_detour,gaussian_sensory,temporal_full,one_hot,0,0.75,lin_block_r1_l2,1.0,0.25
room_graph_bottleneck,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.65625,reservoir_diagonal,0.8090277777777778,0.1527777777777778
room_graph_bottleneck,gaussian_sensory,temporal_cue_then_blank,none,0,0.6041666666666667,reservoir_diagonal,0.6388888888888888,0.0347222222222221
room_graph_bottleneck,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.65625,reservoir_diagonal,0.7881944444444443,0.1319444444444443
room_graph_bottleneck,gaussian_sensory,temporal_dropout,embedding,8,0.6666666666666666,reservoir_diagonal,0.7465277777777777,0.07986111111111105
room_graph_bottleneck,gaussian_sensory,temporal_dropout,none,0,0.6875,reservoir_diagonal,0.6805555555555557,-0.006944444444444309
room_graph_bottleneck,gaussian_sensory,temporal_dropout,one_hot,0,0.6666666666666666,reservoir_diagonal,0.7847222222222223,0.11805555555555569
room_graph_bottleneck,gaussian_sensory,temporal_full,embedding,8,0.7395833333333333,numpy_rnn,0.84375,0.10416666666666674
room_graph_bottleneck,gaussian_sensory,temporal_full,none,0,0.71875,reservoir_diagonal,0.8159722222222222,0.09722222222222221
room_graph_bottleneck,gaussian_sensory,temporal_full,one_hot,0,0.7395833333333333,reservoir_diagonal,0.8055555555555555,0.06597222222222221
room_graph_loop_rich,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.532258064516129,reservoir_diagonal,0.6344086021505376,0.10215053763440862
room_graph_loop_rich,gaussian_sensory,temporal_cue_then_blank,none,0,0.4193548387096774,numpy_rnn,0.4838709677419355,0.06451612903225812
room_graph_loop_rich,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.532258064516129,reservoir_diagonal,0.6827956989247311,0.15053763440860213
room_graph_loop_rich,gaussian_sensory,temporal_dropout,embedding,8,0.596774193548387,lin_block_r1_l2,0.6451612903225806,0.048387096774193616
room_graph_loop_rich,gaussian_sensory,temporal_dropout,none,0,0.564516129032258,lin_block_r1_l2,0.564516129032258,0.0
room_graph_loop_rich,gaussian_sensory,temporal_dropout,one_hot,0,0.596774193548387,lin_block_r1_l2,0.6451612903225806,0.048387096774193616
room_graph_loop_rich,gaussian_sensory,temporal_full,embedding,8,0.7258064516129032,reservoir_diagonal,0.6989247311827956,-0.026881720430107614
room_graph_loop_rich,gaussian_sensory,temporal_full,none,0,0.6774193548387096,reservoir_diagonal,0.7043010752688171,0.026881720430107503
room_graph_loop_rich,gaussian_sensory,temporal_full,one_hot,0,0.7258064516129032,reservoir_diagonal,0.6989247311827956,-0.026881720430107614
