obs_mode,temporal_mode,action_input,action_embedding_dim,model,n_tasks,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem
egocentric_landmark,temporal_dropout,one_hot,0,lin_sequence_front_bands_r1_l8,15,0.6634298566825448,0.056586793223217455,0.1935185185185185,0.04906209297690175
egocentric_landmark,temporal_dropout,one_hot,0,lin_sequence_front_bands_r3_l2,15,0.6042025089605736,0.0541558788110715,0.1338888888888889,0.0326801073742027
egocentric_landmark,temporal_dropout,one_hot,0,lin_sequence_front_bands_r3_l4,15,0.629017621168159,0.05915843918049717,0.15648148148148147,0.03784955314570324
egocentric_landmark,temporal_dropout,one_hot,0,lin_sequence_front_bands_r3_l8,15,0.6651636953249855,0.053167966075847874,0.18425925925925923,0.04500854535972902
egocentric_landmark,temporal_dropout,one_hot,0,lin_sequence_front_bands_r5_l2,15,0.625626076432528,0.05685566327922407,0.16685185185185186,0.03781536671290639
egocentric_landmark,temporal_dropout,one_hot,0,lin_sequence_front_bands_r5_l4,15,0.6120828225935752,0.061704759162730154,0.1559259259259259,0.04255047376881044
egocentric_landmark,temporal_dropout,one_hot,0,lin_sequence_front_bands_r5_l8,15,0.6481756505143602,0.05291296106056243,0.18222222222222223,0.04577922892855838
egocentric_landmark,temporal_dropout,one_hot,0,memoryless_linear,15,0.6475167574361121,0.0503116881259328,0.13999999999999999,0.033473909922544835
egocentric_landmark,temporal_dropout,one_hot,0,memoryless_mlp,15,0.6475167574361121,0.0503116881259328,0.13999999999999999,0.033473909922544835
egocentric_landmark,temporal_dropout,one_hot,0,numpy_rnn,15,0.6420555400394109,0.04955899941551369,0.058333333333333334,0.020036342641685544
egocentric_landmark,temporal_dropout,one_hot,0,reservoir_block_hybrid,15,0.6101628807273969,0.05555212180780997,0.16222222222222224,0.03487379614909057
egocentric_landmark,temporal_dropout,one_hot,0,reservoir_diagonal,15,0.6302113040285083,0.0517476300382115,0.1614814814814815,0.032938430916431456
egocentric_landmark,temporal_dropout,one_hot,0,reservoir_low_rank,15,0.5901465111948984,0.05773329191196897,0.14666666666666667,0.03213018235957788
egocentric_landmark,temporal_dropout,one_hot,0,reservoir_nilpotent,15,0.6453737968522915,0.05588729276244701,0.16814814814814813,0.04237048137033597
egocentric_landmark,temporal_dropout,one_hot,0,reservoir_orthogonal,15,0.6011471990773066,0.0597775460005769,0.16481481481481483,0.04128366001180386
egocentric_landmark,temporal_dropout,one_hot,0,reservoir_oscillatory,15,0.6154503560955173,0.05351221088204492,0.15814814814814815,0.039486588509943917
egocentric_landmark,temporal_dropout,one_hot,0,reservoir_random,15,0.6087513705927684,0.05610887726115568,0.155,0.03526918405514003
egocentric_landmark,temporal_dropout,one_hot,0,reservoir_sparse,15,0.6251407249659938,0.05170496059339283,0.1614814814814815,0.037339571264364366
egocentric_landmark,temporal_dropout,one_hot,0,reservoir_symmetric,15,0.6213327463058644,0.05344224154495904,0.1725925925925926,0.03925083517486421
egocentric_landmark,temporal_full,one_hot,0,lin_block_r1_l2,15,0.7472732509426058,0.046331447036266675,nan,nan
egocentric_landmark,temporal_full,one_hot,0,lin_block_r1_l4,15,0.7478920735775575,0.0475287216469629,nan,nan
egocentric_landmark,temporal_full,one_hot,0,lin_block_r1_l8,15,0.7681080583096713,0.051416765706886074,nan,nan
egocentric_landmark,temporal_full,one_hot,0,lin_block_r3_l2,15,0.727618039069652,0.0513476180431155,nan,nan
egocentric_landmark,temporal_full,one_hot,0,lin_block_r3_l4,15,0.7231547231144005,0.0519885558347276,nan,nan
egocentric_landmark,temporal_full,one_hot,0,lin_block_r3_l8,15,0.7453946531365886,0.05833203126133332,nan,nan
egocentric_landmark,temporal_full,one_hot,0,lin_block_r5_l2,15,0.7202633089729864,0.05413520553905186,nan,nan
egocentric_landmark,temporal_full,one_hot,0,lin_block_r5_l4,15,0.7358210367887785,0.06081449743976797,nan,nan
egocentric_landmark,temporal_full,one_hot,0,lin_block_r5_l8,15,0.7398940441279149,0.06010661281744819,nan,nan
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_all_units_r3_l4,15,0.703662062250772,0.0576439944787677,0.23666666666666672,0.056532546956362305
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r1_l2,15,0.7299875482939998,0.04788617007814129,0.2696296296296296,0.06065999116970429
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r1_l4,15,0.7194618936420013,0.05230334282334183,0.265,0.05778451832883097
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r1_l8,15,0.7343568881337698,0.057251055831547513,0.2996296296296297,0.07399079313101048
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r3_l2,15,0.7040663935825227,0.056010055020534535,0.24611111111111109,0.05831115728640577
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r3_l4,15,0.7173079230606111,0.054926505929827625,0.25611111111111107,0.054899030830478306
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r3_l8,15,0.7329957925388032,0.05495505537226652,0.30277777777777776,0.07863099660616078
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r5_l2,15,0.7020862878658577,0.058705846476637825,0.25759259259259254,0.05582768448264102
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r5_l4,15,0.6912904454167895,0.058509747890371576,0.2522222222222222,0.059599017743011545
egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r5_l8,15,0.7381775253818266,0.05734448009331565,0.3131481481481482,0.08322323709065833
egocentric_landmark,temporal_full,one_hot,0,memoryless_linear,15,0.7590898229607906,0.039664530676783626,0.31111111111111106,0.07474235581707617
egocentric_landmark,temporal_full,one_hot,0,memoryless_mlp,15,0.7590898229607906,0.039664530676783626,0.31111111111111106,0.07474235581707617
egocentric_landmark,temporal_full,one_hot,0,numpy_rnn,15,0.6606263285698767,0.05019120815139417,0.0638888888888889,0.020063831120301672
egocentric_landmark,temporal_full,one_hot,0,reservoir_block_hybrid,15,0.6996670300030516,0.057821281793200195,0.26055555555555554,0.06279147202794043
egocentric_landmark,temporal_full,one_hot,0,reservoir_diagonal,15,0.780383572023357,0.048768516036760856,0.32777777777777783,0.08030795738164719
egocentric_landmark,temporal_full,one_hot,0,reservoir_low_rank,15,0.697201424123467,0.05034213043264153,0.29462962962962963,0.06949652368169848
egocentric_landmark,temporal_full,one_hot,0,reservoir_nilpotent,15,0.669163531112456,0.0691278336443903,0.24870370370370368,0.06583524022569638
