task,obs_mode,temporal_mode,temporal_dropout_p,action_input,action_embedding_dim,model,sequence_r,sequence_l,sequence_ell,input_injection,dataset_seed,model_seed,spectral_radius,symmetry_index,normality_index,effective_rank,transient_amplification,power_decay_10,oscillatory_score,nilpotent_score
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,numpy_rnn,,,,,11,111,0.5696859359741211,1.3064300295113365,0.2680428424370744,25.576316833496094,1.034883737564087,0.009074673056602478,0.875,0.9910069360584443
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,reservoir_random,,,,all_units,11,142,0.9000000357627869,1.4185942729094438,0.2360133021581859,25.60284423828125,1.7089650630950928,0.6864140629768372,0.8125,0.5929741822923443
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,reservoir_random,,,,all_units,11,148,0.8999999761581421,1.41717071406477,0.2621742852451046,25.152732849121094,1.8964194059371948,0.977896511554718,0.875,0.5055876251149024
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,reservoir_random,,,,all_units,11,152,0.8999999761581421,1.4118887636042816,0.2615444707089848,25.53618049621582,1.8752433061599731,0.7009915709495544,0.8125,0.5878923899909534
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,reservoir_symmetric,,,,all_units,11,142,0.8999999761581421,0.0,0.0,25.78898048400879,0.8999999761581421,0.3486782908439636,0.0,0.7414666691003301
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,reservoir_symmetric,,,,all_units,11,148,0.8999999761581421,0.0,0.0,26.267383575439453,0.8999999761581421,0.3486783504486084,0.0,0.7414666363313178
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,reservoir_symmetric,,,,all_units,11,152,0.8999999761581421,0.0,0.0,25.461278915405273,0.8999999761581421,0.3486784100532532,0.0,0.7414666035623085
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,reservoir_oscillatory,,,,all_units,11,142,0.8999999761581421,1.999999992395346,0.0,24.855453491210938,0.8999999761581421,0.34867843985557556,0.875,0.7414665871778049
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,reservoir_oscillatory,,,,all_units,11,148,0.9000000357627869,1.9999999924269853,0.0,24.854631423950195,0.9000000357627869,0.34867843985557556,0.875,0.7414665871778049
torus_lattice,gaussian_sensory,temporal_full,0.5,one_hot,0,reservoir_oscillatory,,,,all_units,11,152,0.8999999761581421,1.9999999926737375,0.0,24.522010803222656,0.8999999761581421,0.3486784100532532,0.875,0.7414666035623085
