obs_mode,temporal_mode,model,n_tasks,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem
egocentric_landmark,temporal_cue_then_blank,lin_sequence_all_units_r3_l4,11,0.5498815073815074,0.06774091104966379,0.17261904761904762,0.04472312008788704
egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r1_l2,11,0.5030461899211899,0.07272262628075524,0.09556277056277054,0.052180374262562244
egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r1_l4,11,0.5469251581751582,0.06847693288796497,0.12817460317460316,0.042737761953036246
egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r1_l8,11,0.6780461899211899,0.08526963548479077,0.3608585858585858,0.10642284221331781
egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r3_l2,11,0.5407599345099344,0.0648240055678984,0.11374458874458875,0.03993993981855275
egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r3_l4,11,0.5785494366744367,0.07179506987980196,0.198015873015873,0.05335700768961202
egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r3_l8,11,0.6777729215229216,0.08565135160411784,0.34718614718614726,0.10457805392612875
egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r5_l2,11,0.5391004828504827,0.06335654193374891,0.19336219336219332,0.051172410061633644
egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r5_l4,11,0.6246091408591409,0.07873964001924111,0.2902236652236652,0.08851007123550947
egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r5_l8,11,0.6638199994449994,0.08393399459383953,0.3356782106782107,0.10415590138209098
egocentric_landmark,temporal_cue_then_blank,memoryless_linear,11,0.4883591408591409,0.06396919063629927,0.03560606060606061,0.022587956842235715
egocentric_landmark,temporal_cue_then_blank,memoryless_mlp,11,0.4883591408591409,0.06396919063629927,0.03560606060606061,0.022587956842235715
egocentric_landmark,temporal_cue_then_blank,numpy_rnn,11,0.5594894688644688,0.05910319151015197,0.06547619047619048,0.02790113815987383
egocentric_landmark,temporal_cue_then_blank,reservoir_block_hybrid,11,0.6131219474969476,0.0745259807625627,0.28672438672438666,0.08005163655332878
egocentric_landmark,temporal_cue_then_blank,reservoir_diagonal,11,0.5917871711621712,0.07211382418364194,0.21764069264069263,0.057022012362121274
egocentric_landmark,temporal_cue_then_blank,reservoir_low_rank,11,0.5433762765012765,0.06551388290362407,0.1921717171717172,0.04523107243117452
egocentric_landmark,temporal_cue_then_blank,reservoir_nilpotent,11,0.6549247974247975,0.08530997373402326,0.327020202020202,0.10124511801083776
egocentric_landmark,temporal_cue_then_blank,reservoir_orthogonal,11,0.64185390997891,0.08536467914230118,0.3188672438672439,0.0989227311468227
