task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,reservoir_oscillatory,,,,all_units,9,0.45228758169934646,0.009009182190908642,nan,0.0,0.46143790849673205,0.008937774072664934
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,reservoir_random,,,,all_units,9,0.48496732026143785,0.0072781233501046025,nan,0.0,0.4875816993464053,0.013022783558935476
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,reservoir_sparse,,,,all_units,9,0.4836601307189543,0.0056979071157394435,nan,0.0,0.5045751633986928,0.012469793482574454
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,reservoir_symmetric,,,,all_units,9,0.4954248366013072,0.0036390616750522973,nan,0.0,0.5215686274509803,0.010375495337508197
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,history_linear_h16,,,,,3,0.7529411764705882,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,history_linear_h4,,,,,3,0.7529411764705882,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,history_linear_h64,,,,,3,0.5058823529411764,0.0,nan,0.0,0.3490196078431373,0.021834370050313804
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,history_linear_h80,,,,,3,1.0,0.0,nan,0.0,0.5803921568627451,0.019607843137254905
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_block_r1_l16,1,16,16,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_block_r1_l4,1,4,4,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_block_r1_l64,1,64,64,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.3450980392156862,0.01960784313725489
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_block_r3_l16,3,16,18,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.5607843137254902,0.007843137254901933
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_block_r3_l4,3,4,6,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.5019607843137255,0.010375495337508207
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_block_r3_l64,3,64,66,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.6823529411764705,0.029607193863806867
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_block_r5_l16,5,16,20,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.5764705882352942,0.013584712216226473
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_block_r5_l4,5,4,8,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.5176470588235293,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_block_r5_l64,5,64,68,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.7294117647058824,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_all_units_r3_l4,3,4,6,all_units,9,0.7529411764705882,0.0,nan,0.0,0.48496732026143796,0.0032679738562091543
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,9,0.7516339869281046,0.0013071895424836555,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.4784313725490196,0.0033961780540566265
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.48496732026143796,0.002614379084967323
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.4862745098039215,0.00480292106428074
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.4771241830065359,0.003975661784508645
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.4862745098039216,0.0033961780540566265
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.4901960784313726,0.003396178054056623
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,9,0.7516339869281046,0.0013071895424836555,nan,0.0,0.48235294117647054,0.0033961780540566265
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,memoryless_linear,,,,,3,0.7529411764705882,0.0,nan,0.0,0.4862745098039216,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,memoryless_mlp,,,,,3,0.7529411764705882,0.0,nan,0.0,0.4862745098039216,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,numpy_rnn,,,,,3,0.7529411764705882,0.0,nan,0.0,0.4862745098039216,0.007843137254901971
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,reservoir_block_hybrid,,,,all_units,9,0.807843137254902,0.036314233681278694,nan,0.0,0.4836601307189542,0.008189519010550116
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,reservoir_diagonal,,,,all_units,9,0.807843137254902,0.036314233681278694,nan,0.0,0.530718954248366,0.009694377107314587
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,reservoir_low_rank,,,,all_units,9,0.7790849673202614,0.026143790849673207,nan,0.0,0.5163398692810458,0.035697285763193136
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,reservoir_nilpotent,,,,all_units,9,0.7529411764705882,0.0,nan,0.0,0.47058823529411764,0.005545935538718021
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,reservoir_orthogonal,,,,all_units,9,0.7254901960784313,0.027450980392156866,nan,0.0,0.4457516339869281,0.007951323569017281
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,reservoir_oscillatory,,,,all_units,9,0.7803921568627451,0.06437825552698825,nan,0.0,0.4718954248366013,0.004977629480956809
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,reservoir_random,,,,all_units,9,0.807843137254902,0.036314233681278694,nan,0.0,0.4784313725490196,0.007594084992563561
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,reservoir_sparse,,,,all_units,9,0.7529411764705882,0.041176470588235294,nan,0.0,0.47973856209150323,0.01033424071950451
