task,topology,aliasing,obs_mode,cue_visibility,temporal_mode,dataset_seed,model,state_dim,n_train,n_test,decision_fraction,action_accuracy,decision_accuracy
room_graph_loop_rich,loop_rich,low,vector,cue_gap,temporal_cue_then_blank,4011,lin_block_r3_l16,144,74,31,0.967741935483871,0.45161290322580644,0.43333333333333335
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,memoryless_linear,12,74,31,0.967741935483871,0.5161290322580645,0.5
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,history_h8,96,74,31,0.967741935483871,0.45161290322580644,0.43333333333333335
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,hybrid_vector_history_h8,104,74,31,0.967741935483871,0.6451612903225806,0.6333333333333333
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,numpy_rnn_h32,32,74,31,0.967741935483871,0.5161290322580645,0.5
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,reservoir_diagonal_h32,32,74,31,0.967741935483871,0.41935483870967744,0.4
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,reservoir_nilpotent_h32,32,74,31,0.967741935483871,0.41935483870967744,0.4
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,lin_block_r3_l16,216,74,31,0.967741935483871,0.45161290322580644,0.43333333333333335
room_graph_loop_rich,loop_rich,low,vector,cue_gap,temporal_cue_then_blank,4017,memoryless_linear,8,74,31,0.8387096774193549,0.4838709677419355,0.5
room_graph_loop_rich,loop_rich,low,vector,cue_gap,temporal_cue_then_blank,4017,history_h8,64,74,31,0.8387096774193549,0.4838709677419355,0.5
room_graph_loop_rich,loop_rich,low,vector,cue_gap,temporal_cue_then_blank,4017,hybrid_vector_history_h8,72,74,31,0.8387096774193549,0.5806451612903226,0.6153846153846154
room_graph_loop_rich,loop_rich,low,vector,cue_gap,temporal_cue_then_blank,4017,numpy_rnn_h32,32,74,31,0.8387096774193549,0.5161290322580645,0.5
room_graph_loop_rich,loop_rich,low,vector,cue_gap,temporal_cue_then_blank,4017,reservoir_diagonal_h32,32,74,31,0.8387096774193549,0.5483870967741935,0.5769230769230769
room_graph_loop_rich,loop_rich,low,vector,cue_gap,temporal_cue_then_blank,4017,reservoir_nilpotent_h32,32,74,31,0.8387096774193549,0.45161290322580644,0.5
room_graph_loop_rich,loop_rich,low,vector,cue_gap,temporal_cue_then_blank,4017,lin_block_r3_l16,144,74,31,0.8387096774193549,0.4838709677419355,0.5
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,memoryless_linear,12,74,31,0.9354838709677419,0.45161290322580644,0.4482758620689655
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,history_h8,96,74,31,0.9354838709677419,0.3870967741935484,0.3793103448275862
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,hybrid_vector_history_h8,104,74,31,0.9354838709677419,0.5483870967741935,0.5517241379310345
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,numpy_rnn_h32,32,74,31,0.9354838709677419,0.5161290322580645,0.5172413793103449
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,reservoir_diagonal_h32,32,74,31,0.9354838709677419,0.45161290322580644,0.4482758620689655
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,reservoir_nilpotent_h32,32,74,31,0.9354838709677419,0.3870967741935484,0.3793103448275862
room_graph_loop_rich,loop_rich,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,lin_block_r3_l16,216,74,31,0.9354838709677419,0.3870967741935484,0.3793103448275862
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3011,memoryless_linear,8,111,48,0.16666666666666666,0.625,0.25
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3011,history_h8,64,111,48,0.16666666666666666,0.7083333333333334,0.625
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3011,hybrid_vector_history_h8,72,111,48,0.16666666666666666,0.7083333333333334,0.625
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3011,numpy_rnn_h32,32,111,48,0.16666666666666666,0.6666666666666666,0.375
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3011,reservoir_diagonal_h32,32,111,48,0.16666666666666666,0.7916666666666666,0.75
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3011,reservoir_nilpotent_h32,32,111,48,0.16666666666666666,0.7708333333333334,0.75
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3011,lin_block_r3_l16,144,111,48,0.16666666666666666,0.7083333333333334,1.0
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3111,memoryless_linear,12,111,48,1.0,0.6458333333333334,0.6458333333333334
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3111,history_h8,96,111,48,1.0,0.7083333333333334,0.7083333333333334
