task,obs_mode,temporal_mode,temporal_dropout_p,model,sequence_r,sequence_l,sequence_ell,input_injection,dataset_seed,model_seed,spectral_radius,symmetry_index,normality_index,effective_rank,transient_amplification,power_decay_10,oscillatory_score,nilpotent_score
torus_lattice,vector,temporal_full,0.5,numpy_rnn,,,,,11,111,0.5337456464767456,1.3179150819778442,0.23496609926223755,25.654390335083008,0.8543663024902344,0.003002795157954097,0.75,0.9970061946263258
torus_lattice,vector,temporal_full,0.5,reservoir_random,,,,all_units,11,142,0.9000000357627869,1.418594241142273,0.23601336777210236,25.60284423828125,1.7089650630950928,0.6864140629768372,0.8125,0.5929741822923443
torus_lattice,vector,temporal_full,0.5,reservoir_random,,,,all_units,11,148,0.8999999761581421,1.4171708822250366,0.2621743977069855,25.152732849121094,1.8964195251464844,0.977896511554718,0.875,0.5055876251149024
torus_lattice,vector,temporal_full,0.5,reservoir_random,,,,all_units,11,152,0.8999999761581421,1.411888837814331,0.2615445852279663,25.53618049621582,1.8752433061599731,0.7009915709495544,0.8125,0.5878923899909534
torus_lattice,vector,temporal_full,0.5,reservoir_symmetric,,,,all_units,11,142,0.8999999761581421,0.0,0.0,25.78898048400879,0.8999999761581421,0.3486782908439636,0.0,0.7414666691003301
torus_lattice,vector,temporal_full,0.5,reservoir_symmetric,,,,all_units,11,148,0.8999999761581421,0.0,0.0,26.267383575439453,0.8999999761581421,0.3486783802509308,0.0,0.7414666199468128
torus_lattice,vector,temporal_full,0.5,reservoir_symmetric,,,,all_units,11,152,0.8999999761581421,0.0,0.0,25.461278915405273,0.8999999761581421,0.3486784100532532,0.0,0.7414666035623085
torus_lattice,vector,temporal_full,0.5,reservoir_oscillatory,,,,all_units,11,142,0.8999999761581421,2.0,0.0,24.855453491210938,0.8999999761581421,0.34867843985557556,0.875,0.7414665871778049
torus_lattice,vector,temporal_full,0.5,reservoir_oscillatory,,,,all_units,11,148,0.9000000357627869,2.0,0.0,24.854631423950195,0.9000000357627869,0.34867846965789795,0.875,0.741466570793302
torus_lattice,vector,temporal_full,0.5,reservoir_oscillatory,,,,all_units,11,152,0.8999999761581421,2.0,0.0,24.522010803222656,0.8999999761581421,0.3486784100532532,0.875,0.7414666035623085
torus_lattice,vector,temporal_full,0.5,reservoir_orthogonal,,,,all_units,11,142,0.9000000357627869,1.4193609952926636,2.6997156510333298e-08,32.0,0.9000000357627869,0.34867846965789795,0.9375,0.741466570793302
torus_lattice,vector,temporal_full,0.5,reservoir_orthogonal,,,,all_units,11,148,0.8999999761581421,1.465051293373108,2.7482871090001026e-08,32.0,0.8999999761581421,0.34867823123931885,0.9375,0.7414667018693453
torus_lattice,vector,temporal_full,0.5,reservoir_orthogonal,,,,all_units,11,152,0.8999999761581421,1.4361052513122559,3.0800631378724574e-08,32.0,0.8999999761581421,0.34867826104164124,0.9375,0.7414666854848374
torus_lattice,vector,temporal_full,0.5,reservoir_nilpotent,,,,all_units,11,142,0.0,1.4142135381698608,0.045619793236255646,30.999990463256836,1.0,1.0,0.0,0.5
torus_lattice,vector,temporal_full,0.5,reservoir_nilpotent,,,,all_units,11,148,0.0,1.4142135381698608,0.045619793236255646,30.999990463256836,1.0,1.0,0.0,0.5
torus_lattice,vector,temporal_full,0.5,reservoir_nilpotent,,,,all_units,11,152,0.0,1.4142135381698608,0.045619793236255646,30.999990463256836,1.0,1.0,0.0,0.5
torus_lattice,vector,temporal_full,0.5,reservoir_diagonal,,,,all_units,11,142,0.8999999761581421,0.0,0.0,29.058326721191406,0.8999999761581421,0.3486783504486084,0.0,0.7414666363313178
torus_lattice,vector,temporal_full,0.5,reservoir_diagonal,,,,all_units,11,148,0.8999999761581421,0.0,0.0,29.058326721191406,0.8999999761581421,0.3486783504486084,0.0,0.7414666363313178
