environment,mode,sequence_length,mean,std,n_seeds
trace_commute_000,valid_only,4,0.000000,0.000000,10
trace_commute_000,valid_only,5,0.000000,0.000000,10
trace_commute_000,valid_only,6,0.000000,0.000000,10
trace_commute_000,valid_only,7,0.000000,0.000000,10
trace_commute_000,valid_only,8,0.000000,0.000000,10
trace_commute_033,raw,2,0.676189,0.021531,10
trace_commute_033,raw,3,0.736516,0.022250,10
trace_commute_033,raw,4,0.771394,0.015339,10
trace_commute_033,raw,5,0.799898,0.013818,10
trace_commute_033,raw,6,0.834303,0.005429,10
trace_commute_033,raw,7,0.849269,0.013690,10
trace_commute_033,raw,8,0.863895,0.011831,10
trace_commute_033,valid_only,2,0.330145,0.020297,10
trace_commute_033,valid_only,3,0.294430,0.024001,10
trace_commute_033,valid_only,4,0.263569,0.019910,10
trace_commute_033,valid_only,5,0.236056,0.017249,10
trace_commute_033,valid_only,6,0.214795,0.011895,10
trace_commute_033,valid_only,7,0.197275,0.009346,10
trace_commute_033,valid_only,8,0.180297,0.010685,10
trace_commute_067,raw,2,0.666081,0.025540,10
trace_commute_067,raw,3,0.695324,0.016452,10
trace_commute_067,raw,4,0.715719,0.013074,10
trace_commute_067,raw,5,0.739234,0.015324,10
trace_commute_067,raw,6,0.766531,0.012701,10
trace_commute_067,raw,7,0.790461,0.010441,10
trace_commute_067,raw,8,0.811111,0.007918,10
trace_commute_067,valid_only,2,0.661763,0.021919,10
trace_commute_067,valid_only,3,0.593261,0.021825,10
trace_commute_067,valid_only,4,0.534206,0.011664,10
trace_commute_067,valid_only,5,0.478210,0.013973,10
trace_commute_067,valid_only,6,0.434704,0.007369,10
trace_commute_067,valid_only,7,0.396545,0.007836,10
trace_commute_067,valid_only,8,0.361717,0.008100,10
trace_commute_100,raw,2,0.783561,0.023610,10
trace_commute_100,raw,3,0.739768,0.020023,10
trace_commute_100,raw,4,0.722019,0.014737,10
trace_commute_100,raw,5,0.699669,0.014206,10
trace_commute_100,raw,6,0.683308,0.012028,10
trace_commute_100,raw,7,0.694701,0.008206,10
trace_commute_100,raw,8,0.704277,0.009058,10
trace_commute_100,valid_only,2,1.000000,0.000000,10
trace_commute_100,valid_only,3,1.000000,0.000000,10
trace_commute_100,valid_only,4,1.000000,0.000000,10
trace_commute_100,valid_only,5,1.000000,0.000000,10
trace_commute_100,valid_only,6,1.000000,0.000000,10
trace_commute_100,valid_only,7,1.000000,0.000000,10
trace_commute_100,valid_only,8,1.000000,0.000000,10
