task,obs_mode,temporal_mode,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
bottleneck_rooms,vector,temporal_cue_then_blank,0.6333333333333333,numpy_rnn,0.7333333333333333,0.09999999999999998
bottleneck_rooms,vector,temporal_dropout,0.6333333333333333,numpy_rnn,0.7333333333333333,0.09999999999999998
bottleneck_rooms,vector,temporal_full,0.7,numpy_rnn,0.7666666666666666,0.06666666666666665
landmark_gap_detour,egocentric_landmark,temporal_cue_then_blank,0.3333333333333333,lin_sequence_front_bands_r1_l8,1.0,0.6666666666666667
landmark_gap_detour,egocentric_landmark,temporal_dropout,0.5833333333333333,lin_sequence_front_bands_r1_l8,0.75,0.16666666666666674
landmark_gap_detour,egocentric_landmark,temporal_full,0.8333333333333334,lin_sequence_front_bands_r1_l8,1.0,0.16666666666666663
landmark_gap_detour,hybrid,temporal_cue_then_blank,0.25,lin_sequence_front_bands_r1_l8,1.0,0.75
landmark_gap_detour,hybrid,temporal_dropout,0.41666666666666663,lin_sequence_front_bands_r1_l8,0.7777777777777778,0.36111111111111116
landmark_gap_detour,hybrid,temporal_full,0.5833333333333333,lin_sequence_front_bands_r3_l8,0.9722222222222223,0.38888888888888906
landmark_gap_detour,sparse_aliased,temporal_cue_then_blank,0.3333333333333333,lin_sequence_front_bands_r1_l8,1.0,0.6666666666666667
landmark_gap_detour,sparse_aliased,temporal_dropout,0.5,lin_sequence_front_bands_r3_l8,0.7777777777777778,0.2777777777777778
landmark_gap_detour,sparse_aliased,temporal_full,0.5,lin_sequence_front_bands_r1_l8,1.0,0.5
landmark_gap_detour,vector,temporal_cue_then_blank,0.25,lin_sequence_front_bands_r3_l8,1.0,0.75
landmark_gap_detour,vector,temporal_dropout,0.3333333333333333,lin_sequence_front_bands_r1_l8,0.8055555555555555,0.47222222222222215
landmark_gap_detour,vector,temporal_full,0.3333333333333333,lin_sequence_front_bands_r1_l8,1.0,0.6666666666666667
shortcut_route_choice,egocentric_landmark,temporal_cue_then_blank,0.6,lin_sequence_front_bands_r1_l8,1.0,0.4
shortcut_route_choice,egocentric_landmark,temporal_dropout,0.6,lin_sequence_front_bands_r5_l4,0.9666666666666667,0.3666666666666667
shortcut_route_choice,egocentric_landmark,temporal_full,0.8,lin_sequence_front_bands_r1_l8,1.0,0.19999999999999996
shortcut_route_choice,hybrid,temporal_cue_then_blank,0.4,lin_sequence_front_bands_r1_l8,1.0,0.6
shortcut_route_choice,hybrid,temporal_dropout,0.7,lin_sequence_front_bands_r1_l8,0.9333333333333332,0.23333333333333328
shortcut_route_choice,hybrid,temporal_full,1.0,lin_sequence_front_bands_r1_l8,1.0,0.0
shortcut_route_choice,sparse_aliased,temporal_cue_then_blank,0.6,lin_sequence_front_bands_r1_l8,1.0,0.4
shortcut_route_choice,sparse_aliased,temporal_dropout,0.8,lin_sequence_front_bands_r5_l4,0.8333333333333334,0.033333333333333326
shortcut_route_choice,sparse_aliased,temporal_full,0.8,lin_sequence_front_bands_r1_l8,1.0,0.19999999999999996
shortcut_route_choice,vector,temporal_cue_then_blank,0.4,lin_sequence_front_bands_r1_l8,1.0,0.6
shortcut_route_choice,vector,temporal_dropout,0.5,reservoir_diagonal,0.9666666666666667,0.4666666666666667
shortcut_route_choice,vector,temporal_full,0.6,lin_sequence_front_bands_r1_l8,1.0,0.4
torus_lattice,egocentric_landmark,temporal_cue_then_blank,0.35714285714285715,numpy_rnn,0.5357142857142857,0.17857142857142855
torus_lattice,egocentric_landmark,temporal_dropout,0.3214285714285714,numpy_rnn,0.4642857142857143,0.1428571428571429
torus_lattice,egocentric_landmark,temporal_full,0.35714285714285715,numpy_rnn,0.5,0.14285714285714285
torus_lattice,hybrid,temporal_cue_then_blank,0.4285714285714286,numpy_rnn,0.5357142857142857,0.1071428571428571
torus_lattice,hybrid,temporal_dropout,0.42857142857142855,numpy_rnn,0.5357142857142857,0.10714285714285715
torus_lattice,hybrid,temporal_full,0.42857142857142855,numpy_rnn,0.5357142857142857,0.10714285714285715
torus_lattice,sparse_aliased,temporal_cue_then_blank,0.35714285714285715,numpy_rnn,0.5357142857142857,0.17857142857142855
torus_lattice,sparse_aliased,temporal_dropout,0.35714285714285715,numpy_rnn,0.5,0.14285714285714285
