task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_all_units_r3_l4,3,4,6,all_units,6,0.4333333333333333,0.03333333333333333,0.4333333333333333,0.08819171036881968,0.19999999999999998,0.03651483716701107
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,6,0.4166666666666667,0.04772607021092118,0.75,0.0670820393249937,0.18333333333333335,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,6,0.36666666666666664,0.03333333333333333,0.38333333333333336,0.06540472290116195,0.21666666666666667,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,6,0.4166666666666667,0.03073181485764296,0.3,0.051639777949432225,0.15,0.0223606797749979
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,6,0.44999999999999996,0.022360679774997894,0.5333333333333333,0.04944132324730441,0.20000000000000004,0.03651483716701107
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,6,0.39999999999999997,2.482534153247273e-17,0.4166666666666667,0.05426273532033236,0.1666666666666667,0.03333333333333333
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,6,0.3999999999999999,0.03651483716701108,0.36666666666666664,0.06146362971528592,0.18333333333333335,0.01666666666666667
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,6,0.39999999999999997,0.02581988897471612,0.35000000000000003,0.06191391873668904,0.13333333333333333,0.03333333333333334
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,6,0.39999999999999997,0.02581988897471612,0.3833333333333333,0.07923242882669808,0.18333333333333335,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,egocentric_landmark,temporal_full,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,6,0.3666666666666667,0.04216370213557839,0.26666666666666666,0.0557773351022717,0.19999999999999998,0.025819888974716113
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_all_units_r3_l4,3,4,6,all_units,6,0.2833333333333333,0.03073181485764296,0.26666666666666666,0.03333333333333333,0.5499999999999999,0.0806225774829855
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,6,0.25000000000000006,0.05627314338711378,0.19999999999999998,0.044721359549995794,0.7166666666666668,0.01666666666666668
