task,obs_mode,temporal_mode,architecture_family,n_models,best_model,best_sequence_r,best_sequence_l,best_action_accuracy_mean,best_action_accuracy_sem,best_context_accuracy_mean
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,reservoir_oscillatory,1,reservoir_oscillatory,,,0.4575163398692811,0.00886579082761473,0.45359477124183
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,reservoir_random,1,reservoir_random,,,0.47581699346405226,0.009825683907433273,0.4862745098039215
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,reservoir_sparse,1,reservoir_sparse,,,0.49673202614379086,0.0032679738562091452,0.4745098039215686
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,reservoir_symmetric,1,reservoir_symmetric,,,0.48758169934640516,0.0070998565301962175,0.5437908496732027
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,shared_lin_sequence,10,lin_sequence_front_bands_r1_l4,1,4,0.5058823529411764,0.0,0.48235294117647065
long_aliased_t_maze,sparse_aliased,temporal_full,explicit_observed_history,4,history_linear_h80,,,1.0,0.0,0.5803921568627451
long_aliased_t_maze,sparse_aliased,temporal_full,independent_lin_block,9,lin_block_r5_l64,5,64,0.7333333333333334,0.003921568627451004,0.7372549019607844
long_aliased_t_maze,sparse_aliased,temporal_full,memoryless_linear,1,memoryless_linear,,,0.5058823529411764,0.0,0.4862745098039216
long_aliased_t_maze,sparse_aliased,temporal_full,memoryless_mlp,1,memoryless_mlp,,,0.5058823529411764,0.0,0.4862745098039216
long_aliased_t_maze,sparse_aliased,temporal_full,numpy_rnn,1,numpy_rnn,,,0.5058823529411764,0.0,0.4901960784313726
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_block_hybrid,1,reservoir_block_hybrid,,,0.4862745098039216,0.00588235294117647,0.5111111111111111
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_diagonal,1,reservoir_diagonal,,,0.5032679738562091,0.0017292492229180267,0.5738562091503269
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_low_rank,1,reservoir_low_rank,,,0.5490196078431373,0.04762728549604361,0.5189542483660131
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_nilpotent,1,reservoir_nilpotent,,,0.4745098039215686,0.007069708383262722,0.45228758169934635
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_orthogonal,1,reservoir_orthogonal,,,0.4549019607843138,0.005187747668754097,0.4771241830065359
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_oscillatory,1,reservoir_oscillatory,,,0.45882352941176463,0.010739657990297377,0.457516339869281
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_random,1,reservoir_random,,,0.48496732026143796,0.008267392575603607,0.48235294117647054
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_sparse,1,reservoir_sparse,,,0.4875816993464053,0.0044328954138073634,0.4810457516339869
long_aliased_t_maze,sparse_aliased,temporal_full,reservoir_symmetric,1,reservoir_symmetric,,,0.5019607843137255,0.0019607843137254832,0.5241830065359477
long_aliased_t_maze,sparse_aliased,temporal_full,shared_lin_sequence,10,lin_sequence_front_bands_r1_l2,1,2,0.5058823529411764,0.0,0.4836601307189543
